Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t0,456,3,1,C0,C0,Vir.sur,22,4.08,10,N,35.1,,204,,823,8.48571429,3.24571429,2.61571429
t0,258,2,1,C0,D2,Vir.sur,37.5,5.68,13,N,45.9,,136,,874,8.56666667,2.29833333,3.73
t0,769,4,1,C0,D1,Vir.sur,32.5,5.53,8,N - Chlorose,40.8,,218,,883,6.14,2.317,2.654
t0,770,4,1,C0,D1,Vir.sur,29.5,4.14,12,N,49.9,,242,,862,8.85,2.344,3.776
t0,800,4,2,C0,D2,Vir.sur,34,5,12,N,41.1,,330,,854,8.38888889,2.94222222,2.87666667
t0,933,4,5,C0,C0,Vir.sur,17,4.17,6,N,51.9,,138,,683,8.16,2.389,3.441
t21,44,1,1,D1,,Iry.hos,,,,,44.7,,78,,807,0.91818182,0.88636364,1.05909091
t21,173,1,4,C0,,Iry.hos,,,,,41,,127,,804,4.25,0.882,4.819
t21,252,2,1,D1,,Epe.fal,,,,,48.6,,1.85,,821,1.84545455,0.52818182,3.70636364
t21,272,2,1,D1,,Iry.hos,,,,,30.1,,3.65,,757,0.09333333,0.34933333,0.33533333
t21,387,2,3,D1,,Epe.fal,,,,,47.9,,20.2,,813,4.82,0.948,5.084
t21,508,3,2,C0,,Epe.fal,,,,,50.1,,146,,836,6.48333333,1.49,4.355
t21,486,3,1,C0,,Jac.cop,,,,,42.6,,270,,812,7.8,1.7475,4.465
t21,487,3,1,C0,,Jac.cop,,,,,40.5,,380,,703,11.2,2.674,4.19
t21,536,3,2,C0,,Jac.cop,,,,,46.8,,226,,837,11.8833333,2.99,3.97333333
t21,99,1,2,D1,,Jac.cop,,,,,33.5,,284,,662,6.51428571,2.29571429,2.87571429
t21,409,2,5,D1,,Jac.cop,,,,,53.7,,7.6,,856,0.96,0.61,1.898
t21,564,3,3,D1,,Jac.cop,,,,,36.8,,108,,819,4.76666667,1.19666667,4.13166667
t21,77,1,2,D1,,Sym.off,,,,,42,,178,,849,4.57142857,1.25571429,3.67714286
t21,78,1,2,D1,,Sym.off,,,,,36.4,,158,,832,7.12,1.222,5.842
t21,87,1,2,D1,,Tac.mel,,,,,29.7,,48.5,,809,1.16,0.524,2.28
t21,178,1,4,C0,,Tac.mel,,,,,29.4,,330,,847,4.24,1.886,2.264
t21,182,1,4,C0,,Tac.mel,,,,,28.8,,224,,801,3.88,1.116,3.516
t21,283,2,2,C0,,Sym.off,,,,,46.2,,355,,813,6.18,2.548,2.426
t21,188,1,4,C0,,Vir.sur,,,,,46.5,,204,,843,9.76,2.786,3.506
t21,313,2,2,C0,,Vir.sur,,,,,41.7,,240,,839,6.52,1.782,3.66
t21,317,2,2,C0,,Vir.sur,,,,,47.3,,206,,854,7.7,1.75,4.4
t21,509,3,2,C0,,Epe.fal,,,,,48.1,,179,,807,7.92,2.04,3.88
t21,540,3,2,C0,,Iry.hos,,,,,48.2,,15.4,,776,0.78125,0.33375,2.349375
t21,640,3,4,D1,,Iry.hos,,,,,37.1,,5.5,,745,2.35384615,0.54461538,4.34692308
t21,692,3,5,D1,,Epe.fal,,,,,36.6,,1.37,,762,0.13,0.1,1.289
t21,739,4,1,D1,,Epe.fal,,,,,43.5,,3.4,,797,3.94,0.842,4.686
t21,782,4,1,D1,,Iry.hos,,,,,38.6,,68,,750,2.74,0.725,3.779
t21,810,4,2,D1,,Iry.hos,,,,,42.6,,26.8,,791,0.875,0.470625,1.950625
t21,861,4,4,D1,,Epe.fal,,,,,43.9,,1.36,,801,0.175,0.29,0.59875
t21,915,4,5,C0,,Iry.hos,,,,,34.6,,380,,783,2.43125,0.645,3.889375
t21,924,4,5,C0,,Epe.fal,,,,,44.6,,191,,784,6.48333333,1.49,4.355
t21,763,4,1,D1,,Jac.cop,,,,,41.1,,116,,758,7.85,1.86666667,4.21166667
t21,765,4,1,D1,,Jac.cop,,,,,39.1,,136,,724,7.94,1.836,4.332
t21,194,1,4,C0,,Pte.off,,,,,44.8,,12.9,,825,14.24,3.126,4.558
t21,527,3,2,C0,,Pte.off,,,,,60.5,,258,,873,12.8833333,2.915,4.42833333
t21,902,4,5,C0,,Pte.off,,,,,40.1,,9,,808,10.8142857,3.03428571,3.49857143
t21,57,1,2,D1,,Pte.off,,,,,58,,11.3,,889,3.13333333,0.73333333,5.04666667
t21,398,2,5,D1,,Pte.off,,,,,50.2,,2.86,,863,4.5125,0.8425,5.2675
t21,578,3,3,D1,,Pte.off,,,,,47.5,,3.7,,795,0.48,0.478,1
t21,579,3,3,D1,,Pte.off,,,,,48.5,,3.15,,838,1.94,0.67,2.96
t21,731,4,1,D1,,Pte.off,,,,,50.1,,3.4,,351,2.72,0.586,4.872
t21,285,2,2,C0,,Sym.off,,,,,35.6,,292,,837,7.36,3.026,2.432
t21,334,2,2,C0,,Tac.mel,,,,,31.6,,181,,816,6.5,1.638,3.976
t21,434,2,5,D1,,Tac.mel,,,,,26,,80,,813,4.98,1.118,4.49
t21,445,2,5,D1,,Sym.off,,,,,24.9,,204,,868,7.31666667,1.78,4.11166667
t21,476,3,1,C0,,Sym.off,,,,,47.4,,240,,856,6.12,2.478,2.47
t21,573,3,3,D1,,Tac.mel,,,,,27,,172,,796,3.01666667,1.44166667,1.95666667
t21,576,3,3,D1,,Tac.mel,,,,,34.6,,39,,798,4.46,1.008,4.466
t21,746,4,1,D1,,Tac.mel,,,,,32.2,,161,,788,4.95,1.40833333,3.53166667
t21,753,4,1,D1,,Sym.off,,,,,28.8,,400,,857,7.75714286,2.02428571,3.83428571
t21,755,4,1,D1,,Sym.off,,,,,51.4,,95,,784,7.2,1.446,5.006
t21,602,3,3,D1,,Vir.sur,,,,,35.3,,8.9,,868,1.31666667,0.625,2.115
t21,603,3,3,D1,,Vir.sur,,,,,52.6,,10.8,,875,4.4,0.76833333,5.755
t21,772,4,1,D1,,Vir.sur,,,,,42.6,,39.5,,878,4.56666667,1.05333333,4.35
