Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t57,785,4,2,D2,,Pte.off,,,,,52.5,,228,,822,9.6,3.202,2.998
t57,795,4,2,D2,,Vir.sur,,,,,54.7,,260,,260,6.975,1.65,4.22875
t57,796,4,2,D2,,Vir.sur,,,,,68.9,,146,,146,8.54,2.098,4.072
t57,797,4,2,D2,,Vir.sur,,,,,51.2,,112,,112,6.3,1.666,3.794
t57,798,4,2,D2,,Vir.sur,,,,,42.3,,112,,112,9.71666667,2.22833333,4.36333333
t57,622,3,4,D2,,Sym.off,,,,,41.2,,228,,553,7.76666667,2.82,2.75333333
t57,658,3,4,D2,,Tac.mel,,,,,44,,830,,834,6.58,2.674,2.462
t57,840,4,2,D2,,Jac.cop,,,,,41.8,,155,,822,6.1,2.25666667,2.70333333
t57,806,4,2,D2,,Tac.mel,,,,,37.9,,350,,870,4.86,1.614,3.018
t57,807,4,2,D2,,Tac.mel,,,,,40.5,,262,,799,6.94,1.792,3.872
t57,314,2,2,C0,,Vir.sur,,,,,44.9,,145,,883,8.62,2.04,4.224
t71,220,1,4,C0,,Epe.fal,,,,,48.4,,244,,840,7.93,2.04,3.89
t71,508,3,2,C0,,Epe.fal,,,,,40.9,,182,,828,7.83,2.18,3.67
t71,922,4,5,C0,,Epe.fal,,,,,36.5,,270,,834,6.61,1.93,3.44
t71,175,1,4,C0,,Iry.hos,,,,,38,,355,,838,4.81,2.27,2.44
t71,913,4,5,C0,,Iry.hos,,,,,50.4,,77,,802,3.38,1.24,2.8
t71,918,4,5,C0,,Iry.hos,,,,,41.1,,182,,815,4.4,1.63,2.74
t71,9,1,1,D3,,Epe.fal,,,,,39,,2.38,,778,0.97,0.48,-0.26
t71,14,1,1,D3,,Epe.fal,,,,,25.7,,1.94,,274,0.12,0.32,0.51
t71,44,1,1,D3,,Iry.hos,,,,,38.2,,2.76,,627,0.45,0.3,1.41
t71,362,2,3,D3,,Iry.hos,,,,,34.6,,5.3,,818,0.78,0.32,2.03
t71,366,2,3,D3,,Iry.hos,,,,,33.9,,14.1,,811,2.41,0.5,3.73
t71,673,3,5,D3,,Iry.hos,,,,,40.2,,2.18,,604,0.31,0.4,0.65
t71,877,4,4,D3,,Iry.hos,,,,,42.7,,3.7,,770,0.61,0.44,1.56
t71,3,1,1,D3,,Jac.cop,,,,,41.8,,3.45,,863,1.52,0.48,3.36
t71,8,1,1,D3,,Jac.cop,,,,,52.2,,3.2,,845,3.45,0.73,5.32
t71,345,2,3,D3,,Jac.cop,,,,,44.8,,3,,537,0.91,0.61,1.68
t71,346,2,3,D3,,Jac.cop,,,,,50.3,,3,,801,1.26,0.33,-0.03
t71,483,3,1,C0,,Jac.cop,,,,,36.3,,21.6,,796,6.54,2.82,2.39
t71,485,3,1,C0,,Jac.cop,,,,,38.2,,12,,623,5.25,1.87,2.8
t71,536,3,2,C0,,Jac.cop,,,,,49.3,,12,,825,6.56,1.47,4.42
t71,851,4,4,D3,,Jac.cop,,,,,38.4,,3.05,,796,1.54,0.47,2.02
t71,20,1,1,D3,,Pte.off,,,,,43.2,,3.6,,311,-0.03,0.42,-0.09
t71,21,4,4,D3,,Pte.off,,,,,47.4,,3,,331,0.01,0.58,0.02
t71,369,2,3,D3,,Pte.off,,,,,9.1,,3.2,,258,0.01,0.24,0.06
t71,372,2,3,D3,,Pte.off,,,,,14.9,,3.1,,214,1.15,0.38,0.09
t71,468,3,1,C0,,Pte.off,,,,,40.2,,9.5,,788,4.65,1.62,3.31
t71,522,3,2,C0,,Pte.off,,,,,49.7,,3.4,,824,5.27,1.56,4.11
t71,698,3,5,D3,,Pte.off,,,,,38.8,,3.3,,134,0.73,0.48,0.03
t71,903,4,5,C0,,Pte.off,,,,,51.3,,22.2,,861,8.27,2.17,3.93
t71,474,3,1,C0,,Sym.off,,,,,52.9,,89,,807,3.8,0.8,3.28
t71,556,3,2,C0,,Sym.off,,,,,41.1,,218,,796,6.58,2.53,2.62
t71,557,3,2,C0,,Sym.off,,,,,49.6,,220,,795,8.16,3.73,2.27
t71,26,1,1,D3,,Sym.off,,,,,37.2,,14.5,,509,2.43,1.16,2.61
t71,29,1,1,D3,,Sym.off,,,,,35.4,,3.25,,787,0.45,0.2,0.28
t71,358,2,3,D3,,Sym.off,,,,,40.8,,5.2,,759,0.11,0.22,0.75
t71,709,3,5,D3,,Sym.off,,,,,38.8,,5.5,,463,1.01,0.43,1.44
t71,710,3,5,D3,,Sym.off,,,,,36.8,,3.8,,699,0.09,0.28,0
t71,178,1,4,C0,,Tac.mel,,,,,31.2,,48,,803,2.71,0.86,3.56
t71,500,3,1,C0,,Tac.mel,,,,,32.1,,120,,809,4.56,2.79,2.09
t71,548,3,2,C0,,Tac.mel,,,,,36.1,,274,,794,4.89,2.88,1.81
t71,51,1,1,D3,,Tac.mel,,,,,39.1,,5,,765,0.03,0.41,0.13
t71,337,2,3,D3,,Tac.mel,,,,,23.2,,6.3,,544,0.14,0.39,0.44
t71,342,2,3,D3,,Tac.mel,,,,,33.6,,7.4,,799,1.16,0.33,0.31
t71,843,4,4,D3,,Tac.mel,,,,,37.2,,4.5,,783,0.1,0.38,0.27
t71,844,4,4,D3,,Tac.mel,,,,,25.6,,3,,536,0.05,0.2,0.31
t71,34,1,1,D3,,Vir.sur,,,,,48,,3.75,,747,-0.1,0.18,-0.616
t71,38,1,1,D3,,Vir.sur,,,,,39.6,,3.95,,663,0.12,0.266,0.498
t71,318,2,2,C0,,Vir.sur,,,,,44.4,,35,,846,5.7,1.52,3.752
t71,319,2,2,C0,,Vir.sur,,,,,43.9,,159,,826,6.38,1.676,3.81
t71,320,2,2,C0,,Vir.sur,,,,,36.1,,52,,860,4.44,1.066,4.18
t71,377,2,3,D3,,Vir.sur,,,,,41.5,,3.65,,768,0.22,0.254,0.788
t71,384,2,3,D3,,Vir.sur,,,,,52.6,,3.6,,678,-0.02,0.188,-0.264
t71,723,3,5,D3,,Vir.sur,,,,,14.7,,3.4,,22,0.04,0.222,0.204
t71,171,1,4,C0,,Iry.hos,,,,,,,,,,,,
t71,476,3,1,C0,,Sym.off,,,,,,,,,,,,
t71,178,1,4,C0,,Tac.mel,,,,,,,,,,,,
